"filename", "language", "HTML", "TypeScript", "SCSS", "comment", "blank", "total"
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\task-info-page\dialog-add-step\dialog-add-step.component.ts", "TypeScript", 0, 24, 0, 8, 9, 41
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\task-info-page\step-info-page\step-info-page.component.html", "HTML", 51, 0, 0, 0, 17, 68
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\task-info-page\step-info-page\step-info-page.component.scss", "SCSS", 0, 0, 32, 0, 9, 41
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\task-info-page\step-info-page\step-info-page.component.spec.ts", "TypeScript", 0, 20, 0, 0, 6, 26
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\task-info-page\step-info-page\step-info-page.component.ts", "TypeScript", 0, 97, 0, 1, 26, 124
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\task-info-page\step-photo\step-photo.component.html", "HTML", 0, 0, 0, 13, 0, 13
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\task-info-page\step-photo\step-photo.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\task-info-page\step-photo\step-photo.component.spec.ts", "TypeScript", 0, 20, 0, 0, 6, 26
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\task-info-page\step-photo\step-photo.component.ts", "TypeScript", 0, 11, 0, 0, 5, 16
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\task-info-page\task-info-page.component.html", "HTML", 35, 0, 0, 1, 8, 44
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\task-info-page\task-info-page.component.scss", "SCSS", 0, 0, 97, 3, 28, 128
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\task-info-page\task-info-page.component.spec.ts", "TypeScript", 0, 20, 0, 0, 6, 26
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\task-info-page\task-info-page.component.ts", "TypeScript", 0, 70, 0, 1, 22, 93
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\tasks-page\dialog-add-task\dialog-add-task.component.html", "HTML", 12, 0, 0, 1, 5, 18
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\tasks-page\dialog-add-task\dialog-add-task.component.scss", "SCSS", 0, 0, 6, 0, 1, 7
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\tasks-page\dialog-add-task\dialog-add-task.component.spec.ts", "TypeScript", 0, 20, 0, 0, 6, 26
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\tasks-page\dialog-add-task\dialog-add-task.component.ts", "TypeScript", 0, 25, 0, 8, 10, 43
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\tasks-page\tasks-page.component.html", "HTML", 52, 0, 0, 0, 7, 59
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\tasks-page\tasks-page.component.scss", "SCSS", 0, 0, 21, 0, 5, 26
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\tasks-page\tasks-page.component.spec.ts", "TypeScript", 0, 20, 0, 0, 6, 26
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\tasks-page\tasks-page.component.ts", "TypeScript", 0, 76, 0, 1, 20, 97
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\user-info-page\assign-task\assign-task.component.html", "HTML", 24, 0, 0, 0, 4, 28
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\user-info-page\assign-task\assign-task.component.scss", "SCSS", 0, 0, 27, 2, 6, 35
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\user-info-page\assign-task\assign-task.component.spec.ts", "TypeScript", 0, 20, 0, 0, 6, 26
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\user-info-page\assign-task\assign-task.component.ts", "TypeScript", 0, 58, 0, 0, 15, 73
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\user-info-page\assignment-info\assignment-info.component.html", "HTML", 27, 0, 0, 4, 5, 36
"c:\Users\Anna_\OneDrive\Документы\GitHub\anria-vue\admin-panel\src\app\system\user-info-page\assignment-info\assignment-info.component.scss", "SCSS", 0, 0, 47, 1, 8, 56
